method,j,r,k_windows,cum_detect_prob,cum_lo,cum_hi,n_detected_by_k,n_total
epm,2,2.0,2,0.12,0.05617600150932274,0.23804817383202992,6,50
epm,2,2.0,3,0.16,0.08337420678033404,0.2851421606303499,8,50
epm,2,2.0,4,0.26,0.15871527493552393,0.39553157264848837,13,50
epm,2,3.0,1,0.06,0.02061497034897397,0.16217091688838173,3,50
epm,2,3.0,2,0.08,0.03154951408859298,0.18838246918342838,4,50
epm,2,3.0,3,0.16,0.08337420678033404,0.2851421606303499,8,50
epm,2,3.0,4,0.2,0.1124375001577611,0.3303710593222542,10,50
epm,3,1.5,1,0.08,0.03154951408859298,0.18838246918342838,4,50
epm,3,1.5,2,0.1,0.04347576493189041,0.21360231437479654,5,50
epm,3,1.5,3,0.12,0.05617600150932274,0.23804817383202992,6,50
epm,3,1.5,4,0.12,0.05617600150932274,0.23804817383202992,6,50
epm,3,2.0,1,0.02,0.003539259271646236,0.10495443589637815,1,50
epm,3,2.0,2,0.1,0.04347576493189041,0.21360231437479654,5,50
epm,3,2.0,3,0.14,0.06950833427016294,0.2618619371058554,7,50
epm,3,2.0,4,0.26,0.15871527493552393,0.39553157264848837,13,50
epm,3,3.0,1,0.08,0.03154951408859298,0.18838246918342838,4,50
epm,3,3.0,2,0.16,0.08337420678033404,0.2851421606303499,8,50
epm,3,3.0,3,0.22,0.1275391597021442,0.3524154958125367,11,50
epm,3,3.0,4,0.3,0.19103553500880954,0.437503504644534,15,50
