method,attempted_trial_windows,skipped,skip_frac,trials_full12w,trials_partial,trials_absent,mass_mean,mass_median,mass_q25,mass_q75
poisson_mdss,833,607,0.4215277777777778,42,44,34,120.10656032357788,62.44626789383325,27.117393894233064,159.19021446545156
fgss,816,624,0.43333333333333335,52,33,35,149.157950386979,92.80161394804655,40.931362641033225,214.7989716775406
moving_average_mdss,748,692,0.48055555555555557,32,49,39,88.99310173606409,44.85597808885268,26.654724143625124,102.53474889208316
epm,780,660,0.4583333333333333,41,42,37,118.46886997465506,62.023614637423165,29.405914510852693,154.29164949958061
