method,j,r,n_clean,fpr,n_injected,power,mean_jaccard_detected,mean_jaccard_all,mean_recall_detected,mean_recall_all,mean_precision_detected,mean_precision_all
Poisson-MDSS,2,1.5,167,0.0658682634730539,167,0.15568862275449102,0.1468244676389473,0.11119685944795787,0.8076923076923077,0.6497005988023952,0.14880720712168677,0.13272919947245926
Poisson-MDSS,2,2.0,184,0.13043478260869565,184,0.31521739130434784,0.15865369980481542,0.12402663140354955,0.896551724137931,0.7146739130434783,0.1608243669222371,0.14132160166001415
Poisson-MDSS,2,3.0,159,0.08176100628930817,159,0.46540880503144655,0.16019013224895576,0.12552531788103374,0.8851351351351351,0.7264150943396226,0.16130050835933188,0.1479137400455562
Poisson-MDSS,3,1.5,122,0.06557377049180328,122,0.13934426229508196,0.2459210723916606,0.18408960521424358,0.8823529411764706,0.7185792349726775,0.2518811254105372,0.19908000221890484
Poisson-MDSS,3,2.0,83,0.03614457831325301,83,0.26506024096385544,0.2555411759957214,0.18910866871533066,0.9242424242424242,0.7068273092369478,0.2589491316764044,0.20428300215881917
Poisson-MDSS,3,3.0,118,0.07627118644067797,118,0.5932203389830508,0.2479350693780149,0.221613472534066,0.9761904761904762,0.8700564971751411,0.24885859030153584,0.22984652927437438
fgss,2,1.5,169,0.10059171597633136,169,0.27218934911242604,0.1065235824397555,0.11106967627361676,0.8586956521739131,0.7544378698224852,0.10792351194743839,0.11323320990434954
fgss,2,2.0,139,0.08633093525179857,139,0.2733812949640288,0.11330304418030504,0.1179591582190865,0.8157894736842105,0.7553956834532374,0.11475052600704382,0.11951530297243816
fgss,2,3.0,151,0.11258278145695365,151,0.3576158940397351,0.13608366408719003,0.14317969529587635,0.9629629629629629,0.8874172185430463,0.13630111638797565,0.14366362086258336
fgss,3,1.5,113,0.08849557522123894,113,0.23008849557522124,0.18574894334450176,0.1730460148574343,0.8846153846153846,0.7610619469026547,0.18888733501290061,0.17957964659552372
fgss,3,2.0,118,0.11016949152542373,118,0.2457627118644068,0.1687534503793363,0.16952431201367738,0.8275862068965517,0.7401129943502825,0.17240852438377513,0.17587190537522893
fgss,3,3.0,126,0.09523809523809523,126,0.4523809523809524,0.18687896618074226,0.201437486416478,0.935672514619883,0.8941798941798942,0.18822328319843387,0.20389531107226078
fpgrowth_epm,2,1.5,152,0.013157894736842105,152,0.03289473684210526,0.3333333333333333,0.1212719298245614,0.6,0.23355263157894737,0.36666666666666664,0.14473684210526314
fpgrowth_epm,2,2.0,130,0.06153846153846154,130,0.1,0.16282051282051282,0.1335897435897436,0.3076923076923077,0.25,0.1987179487179487,0.17692307692307693
fpgrowth_epm,2,3.0,176,0.08522727272727272,176,0.09659090909090909,0.15196078431372548,0.16581439393939393,0.23529411764705882,0.26704545454545453,0.20588235294117646,0.2372159090909091
fpgrowth_epm,3,1.5,122,0.040983606557377046,122,0.040983606557377046,0.11333333333333333,0.15587431693989073,0.2,0.2540983606557377,0.18333333333333332,0.22745901639344263
fpgrowth_epm,3,2.0,82,0.04878048780487805,82,0.08536585365853659,0.24523809523809526,0.14471544715447152,0.38095238095238093,0.22357723577235772,0.3095238095238095,0.2113821138211382
fpgrowth_epm,3,3.0,118,0.07627118644067797,118,0.15254237288135594,0.33240740740740743,0.2724576271186441,0.42592592592592593,0.36440677966101687,0.5,0.4067796610169492
moving_average_mdss,2,1.5,154,0.07142857142857142,154,0.16233766233766234,0.15771309736015618,0.11689349206965104,0.82,0.6915584415584416,0.15968135132841016,0.12002402061079837
moving_average_mdss,2,2.0,145,0.04827586206896552,145,0.16551724137931034,0.14184765398000693,0.09113177784577377,0.7916666666666666,0.5517241379310345,0.14520159170894464,0.0945971945566266
moving_average_mdss,2,3.0,142,0.07746478873239436,142,0.30985915492957744,0.1652669671386249,0.13028189330788204,0.8977272727272727,0.7464788732394366,0.16682769473544876,0.13249274859454513
moving_average_mdss,3,1.5,115,0.06086956521739131,115,0.10434782608695652,0.22583851333851335,0.15516802961176362,0.7777777777777777,0.6144927536231883,0.23590067340067336,0.1667908668484116
moving_average_mdss,3,2.0,116,0.05172413793103448,116,0.1724137931034483,0.22464284984021826,0.17892894988449862,0.8333333333333333,0.6867816091954022,0.23276833546570383,0.18974354978645305
moving_average_mdss,3,3.0,76,0.10526315789473684,76,0.3026315789473684,0.21089900437726525,0.17877850026650333,0.8115942028985509,0.7061403508771928,0.21777365146930364,0.18685104426967306
