peril_type,syndicate,group_class,placing_basis_group,leader_status,new_renewal,risk_code,loss_census_division,total_test_observed,expected_flagged_windows,q_hat,n_windows_flagged,first_window,last_window,survives_bonferroni,thin_occupancy_caution,near_zero_expected_artifact,fgss_corroborated
Tropical Cyclone - Precipitation Flood (PF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,Pacific,11,0.4488,24.51,1,2023-Q4,2023-Q4,False,False,False,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,Middle Atlantic,11,2.5333,4.34,1,2024-Q1,2024-Q1,False,False,False,True
Tropical Cyclone - Wind (TC),ALL,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,West South Central,11,0.4525,24.31,1,2022-Q3,2022-Q3,True,True,False,True
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,Middle Atlantic,10,1.193,8.38,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West South Central,10,0.0029,3457.92,1,2023-Q2,2023-Q2,True,False,True,True
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,West South Central,9,0.7196,12.51,4,2023-Q2,2024-Q3,True,False,False,True
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,South Atlantic,9,1.3498,6.67,1,2024-Q3,2024-Q3,True,False,False,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,South Atlantic,9,1.7929,5.02,2,2023-Q2,2023-Q4,True,False,False,True
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,ALL,P2,West South Central,9,0.0041,2180.9,1,2024-Q1,2024-Q1,False,False,True,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,Middle Atlantic,8,0.5958,13.43,2,2023-Q2,2024-Q3,True,False,False,True
Tropical Cyclone - Storm Surge (SU),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,West South Central,8,0.4661,17.16,1,2023-Q3,2023-Q3,True,False,False,True
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,ALL,P6,East South Central,8,0.0041,1938.58,1,2024-Q1,2024-Q1,False,False,True,True
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,ALL,P6,West South Central,8,0.0041,1938.58,1,2024-Q1,2024-Q1,False,False,True,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,New England,8,0.206,38.83,2,2023-Q2,2023-Q4,True,False,False,True
Tropical Cyclone - Wind (TC),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,West South Central,7,1.0027,6.98,1,2023-Q2,2023-Q2,True,False,False,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,East South Central,7,1.0532,6.65,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,West South Central,6,0.0029,2034.25,1,2023-Q3,2023-Q3,True,False,True,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,ALL,P6,East South Central,6,0.0041,1453.94,1,2024-Q1,2024-Q1,False,False,True,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,West North Central,6,0.1492,40.23,1,2024-Q1,2024-Q1,False,False,False,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,Mountain,6,1.4878,4.03,1,2024-Q1,2024-Q1,False,False,False,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,East South Central,6,1.6257,3.69,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,East South Central,5,0.0647,77.3,1,2024-Q1,2024-Q1,False,False,True,True
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,West North Central,5,0.0461,108.35,1,2023-Q2,2023-Q2,True,False,True,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,New England,5,0.8511,5.87,1,2024-Q1,2024-Q1,False,False,False,True
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,Middle Atlantic,5,0.1676,29.84,1,2024-Q3,2024-Q3,True,False,False,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,Pacific,5,1.2044,4.15,2,2023-Q3,2024-Q3,True,False,False,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,East North Central,4,1.7864,2.24,1,2024-Q1,2024-Q1,False,False,False,True
Non-catastrophe - Mechanical Failure (NC-M),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,West South Central,4,0.2375,16.84,1,2024-Q1,2024-Q1,False,False,False,True
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,West South Central,4,1.601,2.5,1,2024-Q1,2024-Q1,False,False,False,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,West North Central,4,1.2241,3.27,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,Mountain,4,0.2711,14.75,1,2024-Q3,2024-Q3,True,False,False,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,Middle Atlantic,3,0.3339,8.98,1,2023-Q2,2023-Q2,True,False,False,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,West North Central,3,0.2963,10.13,2,2023-Q2,2023-Q4,True,False,False,True
Tropical Cyclone - Storm Surge (SU),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,East North Central,3,0.1488,20.17,1,2023-Q3,2023-Q3,True,False,False,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,ALL,P6,Middle Atlantic,3,0.0041,726.97,1,2024-Q1,2024-Q1,False,False,True,True
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,East North Central,3,0.1182,25.39,1,2024-Q3,2024-Q3,True,False,False,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P6,East South Central,3,0.1463,20.5,2,2023-Q3,2024-Q3,True,False,True,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,New England,3,1.3138,2.28,1,2024-Q1,2024-Q1,False,False,False,True
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,Middle Atlantic,3,0.5883,5.1,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,East North Central,3,0.3779,7.94,1,2024-Q1,2024-Q1,False,False,False,True
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,East North Central,2,0.0961,20.81,1,2024-Q1,2024-Q1,False,False,True,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,East North Central,2,0.1969,10.16,1,2023-Q4,2023-Q4,False,False,False,True
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,Pacific,2,0.3363,5.95,1,2024-Q3,2024-Q3,True,False,False,True
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,West North Central,2,0.3501,5.71,1,2024-Q1,2024-Q1,False,False,False,True
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,Mountain,2,0.08,24.99,1,2024-Q1,2024-Q1,False,False,True,True
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,West South Central,2,1.02,1.96,1,2024-Q3,2024-Q3,True,False,False,True
Other Perils - Coastal Flood (CF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,New England,2,0.0902,22.18,1,2024-Q1,2024-Q1,False,False,True,True
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P6,East South Central,2,0.0302,66.19,1,2024-Q3,2024-Q3,True,False,True,True
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,West North Central,2,0.1335,14.98,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,East South Central,2,1.0401,1.92,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Tornado (TD),ALL,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,West South Central,2,0.0704,28.39,1,2022-Q3,2022-Q3,True,True,True,True
Non-catastrophe - Other (NC-O),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,Mountain,2,0.056,35.7,1,2023-Q4,2023-Q4,False,False,True,True
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,South Atlantic,2,0.7692,2.6,2,2023-Q2,2024-Q3,True,False,False,True
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West South Central,2,0.0051,394.19,1,2024-Q3,2024-Q3,True,False,True,True
Non-catastrophe - Other (NC-O),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,South Atlantic,2,0.6192,3.23,2,2023-Q3,2023-Q4,True,False,False,True
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East South Central,1,0.0051,197.1,1,2024-Q3,2024-Q3,True,False,True,True
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West North Central,1,0.0051,197.1,1,2024-Q3,2024-Q3,True,False,True,True
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,West North Central,1,0.1814,5.51,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,East South Central,1,0.2962,3.38,1,2024-Q3,2024-Q3,True,False,False,True
Non-catastrophe - Weather (NC-W),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,South Atlantic,1,0.0051,197.1,1,2024-Q3,2024-Q3,True,False,True,True
Non-catastrophe - Weather (NC-W),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,Middle Atlantic,1,0.0693,14.43,1,2024-Q1,2024-Q1,False,False,True,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,ALL,P2,Mountain,1,0.0041,242.32,1,2024-Q1,2024-Q1,False,False,True,True
Tropical Cyclone - Storm Surge (SU),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,East South Central,1,0.1354,7.39,1,2023-Q3,2023-Q3,True,False,False,True
Non-catastrophe - Weather (NC-W),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,Pacific,1,0.171,5.85,1,2024-Q3,2024-Q3,True,False,False,True
Non-catastrophe - Weather (NC-W),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,East North Central,1,0.0489,20.46,1,2024-Q1,2024-Q1,False,False,True,True
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,East North Central,1,0.8413,1.19,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Pacific,1,0.0024,413.49,1,2023-Q4,2023-Q4,False,False,True,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,Mountain,1,0.164,6.1,1,2023-Q4,2023-Q4,False,False,False,True
