method,j,r,fpr,power,precision_detected,recall_detected,jaccard_detected,n_common_injected
Poisson-MDSS,2,2.0,0.0,0.0,,,,2
Poisson-MDSS,2,3.0,0.0,0.0,,,,4
fgss,2,2.0,0.0,0.5,0.0769230769230769,0.5,0.0714285714285714,2
fgss,2,3.0,0.25,0.0,,,,4
fpgrowth_epm,2,2.0,0.0,0.0,,,,2
fpgrowth_epm,2,3.0,0.25,0.0,,,,4
moving_average_mdss,2,2.0,0.0,0.0,,,,2
moving_average_mdss,2,3.0,0.0,0.0,,,,4
