method,j,r,window,trial,arm,S,detected,score,pvalue,jaccard,recall,precision
Poisson-MDSS,2,1.5,2022-Q4,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,15.931211573525374,0.5,0.14285714285714285,1.0,0.14285714285714285
Poisson-MDSS,2,1.5,2023-Q1,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,15.166609993430239,0.8125,,,
Poisson-MDSS,2,1.5,2023-Q1,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,30.60827239795644,0.625,0.2222222222222222,1.0,0.2222222222222222
Poisson-MDSS,2,1.5,2023-Q2,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,45.444150756652284,0.3125,,,
Poisson-MDSS,2,1.5,2023-Q2,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,37.61213493391679,0.4375,0.09090909090909091,0.5,0.1
Poisson-MDSS,2,1.5,2023-Q3,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,84.93074463474342,0.3125,,,
Poisson-MDSS,2,1.5,2023-Q3,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,11.72381017827975,0.8125,0.07142857142857142,0.5,0.07692307692307691
Poisson-MDSS,2,1.5,2023-Q4,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,10.448765333002662,0.8125,,,
Poisson-MDSS,2,1.5,2023-Q4,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,79.0601696768616,0.3125,0.11764705882352941,1.0,0.11764705882352941
Poisson-MDSS,2,1.5,2024-Q1,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,5.63937624026731,0.8125,,,
Poisson-MDSS,2,1.5,2024-Q1,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,127.65215699231075,0.1875,0.2222222222222222,1.0,0.2222222222222222
Poisson-MDSS,2,1.5,2024-Q2,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,46.48484240790188,0.4375,,,
Poisson-MDSS,2,1.5,2024-Q2,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,10.691913345193992,0.75,0.09090909090909091,0.5,0.1
Poisson-MDSS,2,1.5,2024-Q3,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,117.31802433151145,0.4375,,,
Poisson-MDSS,2,1.5,2024-Q3,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,83.7244069467976,0.5625,0.18181818181818182,1.0,0.18181818181818182
Poisson-MDSS,2,1.5,2024-Q4,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,25.147166831056044,0.5625,,,
Poisson-MDSS,2,1.5,2024-Q4,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,29.60868349652348,0.5,0.07692307692307693,0.5,0.08333333333333333
Poisson-MDSS,2,2.0,2024-Q1,1,clean,"{'loss_census_division': ['South Atlantic'], 'peril_type': ['Severe Storm - Severe Thunderstorm (ST)']}",False,213.34774426663012,0.0625,,,
Poisson-MDSS,2,2.0,2024-Q1,1,injected,"{'loss_census_division': ['South Atlantic'], 'peril_type': ['Severe Storm - Severe Thunderstorm (ST)']}",False,0.0,1.0,0.0,0.0,
